node_id,cluster_id
194076,0
147322,0
147323,0
145458,1
190930,1
188492,1
25480,2
51184,2
129076,2
40389,3
120870,3
57022,3
53508,4
108238,4
53872,4
75311,5
70899,5
87838,5
133079,6
78846,6
184033,6
149696,7
98586,7
60133,7
915,8
78990,8
13745,8
2169,9
2174,9
2173,9
23322,10
22755,10
38955,10
81659,11
107273,11
152254,11
152251,11
152255,11
140556,11
152250,11
71544,11
107213,11
152249,11
152253,11
152256,11
28256,12
71792,12
95590,12
92046,13
95466,13
77359,13
14994,14
70400,14
146616,14
143800,15
33395,15
22250,15
91373,16
62551,16
11133,16
35949,17
4117,17
18286,17
14406,18
174509,18
20907,18
32551,19
73384,19
61916,19
62775,20
79097,20
91272,20
6897,21
36989,21
30728,21
3992,22
87124,22
99704,22
5832,23
13171,23
31330,23
11010,24
3504,24
122122,24
8102,25
105847,25
21824,25
37572,26
52106,26
130933,26
178367,27
153680,27
153679,27
174922,27
174923,27
26756,28
41310,28
66134,28
198884,29
151824,29
109647,29
189852,29
151825,29
151826,29
151827,29
36367,30
79556,30
78034,30
169610,31
141807,31
180542,31
132524,32
53047,32
8138,32
53595,33
53669,33
57069,33
53568,34
53625,34
53624,34
31418,35
82517,35
108654,35
113304,36
174568,36
19007,36
36397,37
16151,37
142997,37
127631,38
97805,38
97802,38
198768,38
127628,38
127632,38
97804,38
151172,38
30812,39
33758,39
34031,39
125940,40
15785,40
16725,40
6230,41
30811,41
77010,41
8737,42
96611,42
179700,42
100194,43
68064,43
12165,43
111847,44
76733,44
30971,44
32541,45
111980,45
62031,45
56016,46
31552,46
8028,46
84685,47
11625,47
94793,47
2325,48
111955,48
84397,48
42984,49
34034,49
54221,49
124976,50
64123,50
47883,50
88929,51
4697,51
87208,51
18371,52
85967,52
51268,52
16036,53
53054,53
134452,53
10959,54
8835,54
24956,54
2941,55
154065,55
24031,55
46722,56
139070,56
94920,56
43207,57
6343,57
118675,57
41359,58
62016,58
100835,58
95963,59
58057,59
65185,59
50031,60
23823,60
149795,60
8421,61
77505,61
150104,61
59649,62
117800,62
81309,62
76814,63
50705,63
112732,63
136686,64
62754,64
18130,64
60458,65
7338,65
70051,65
72416,66
36016,66
50361,66
49072,67
55364,67
36579,67
66495,68
10509,68
32329,68
117483,69
64066,69
2234,69
46569,70
77102,70
99454,70
105689,71
24770,71
79554,71
64085,72
65380,72
73617,72
504,73
20485,73
106937,73
77311,74
47479,74
47654,74
53362,75
112494,75
139847,75
51971,76
161472,76
68950,76
73589,77
73196,77
22766,77
166936,78
189588,78
166938,78
166937,78
50566,79
198537,79
119184,79
27267,80
104570,80
67365,80
148202,81
39640,81
147973,81
29476,82
81672,82
4172,82
8740,83
7989,83
28581,83
14526,84
34041,84
94878,84
20079,85
77301,85
99387,85
20180,86
40635,86
16198,86
74728,87
3996,87
91852,87
24652,88
29472,88
28768,88
76985,89
103337,89
192947,89
26563,90
81687,90
17504,90
32943,91
63848,91
8017,91
19510,92
729,92
90525,92
51266,93
65866,93
22233,93
50979,94
40880,94
35450,94
22342,95
17210,95
55175,95
8671,96
126467,96
56581,96
26000,97
49471,97
49155,97
29845,98
32488,98
126508,98
12974,99
19956,99
8274,99
46085,100
105581,100
71364,100
50150,101
49767,101
80794,101
38751,102
38584,102
89978,102
67416,103
41749,103
43664,103
26070,104
39548,104
75127,104
111260,105
63790,105
114859,105
32971,106
24922,106
132675,106
73163,107
81775,107
89483,107
26935,108
72825,108
16462,108
89856,109
107351,109
24121,109
161528,110
12528,110
134196,110
35108,111
97106,111
75322,111
62008,112
59757,112
110053,112
39834,113
43262,113
119617,113
6227,114
40824,114
19971,114
11252,115
32398,115
162282,115
30608,116
10884,116
139550,116
57959,117
7725,117
34795,117
30046,118
28453,118
32646,118
65991,119
28906,119
1334,119
59637,120
73624,120
48243,120
20254,121
29666,121
41428,121
27324,122
3713,122
884,122
10635,123
65216,123
121791,123
36578,124
62148,124
48408,124
76335,125
54917,125
134321,125
31818,126
107771,126
3512,126
48179,127
4729,127
13320,127
115686,128
64095,128
73564,128
30872,129
104457,129
73739,129
84192,130
46970,130
73928,130
8663,131
31568,131
12977,131
3777,132
12183,132
136844,132
65346,133
7762,133
179247,133
61993,134
54689,134
518,134
8826,135
73533,135
90956,135
12579,136
10184,136
49194,136
2699,137
125300,137
151784,137
3799,138
116888,138
3797,138
11473,139
39352,139
44454,139
20227,140
119296,140
53416,140
154681,141
154678,141
176654,141
