node_id,cluster_id
81369,0
81370,0
81372,0
81373,0
166936,1
189588,1
166938,1
166937,1
106990,2
176237,2
194048,2
194076,3
147322,3
147323,3
122294,4
122295,4
122298,4
122299,4
178367,5
153680,5
153679,5
174922,5
174923,5
168336,6
106486,6
106485,6
180440,7
138104,7
197860,7
198884,8
151824,8
109647,8
189852,8
151825,8
151826,8
151827,8
104217,9
162914,9
104216,9
2169,10
2174,10
2173,10
127631,11
97805,11
198768,11
127628,11
127632,11
97804,11
88542,11
151172,11
52869,12
198018,12
178413,12
154681,13
154678,13
176654,13
52873,14
193785,14
56281,14
125743,15
84373,15
84374,15
48543,16
112290,16
162508,16
112293,16
125435,16
125436,16
42203,16
52594,17
52599,17
39446,17
65489,17
155496,17
52597,17
39449,17
52603,17
65490,17
52592,17
155494,17
52596,17
39448,17
39452,17
52600,17
39447,17
65488,17
39444,17
52602,17
39451,17
49005,17
39450,17
52598,17
77631,17
52601,17
52595,17
104684,18
37714,18
123767,18
64459,19
20085,19
34694,19
105890,19
121722,19
170567,19
64492,19
64462,19
34693,19
105892,19
64478,19
20087,19
64487,19
143036,20
57006,20
95347,20
57007,20
7990,20
50861,20
13055,20
69897,20
78313,20
78309,20
50345,20
62438,20
187493,20
78310,20
62437,20
125410,21
169070,21
69724,21
187282,21
169054,21
125415,21
7457,21
125423,21
124485,21
59865,21
51391,21
11119,21
125422,21
169064,21
124486,21
158374,21
144453,21
2179,21
21229,21
4681,22
4682,22
4688,22
4683,22
4687,22
128799,22
4690,22
4686,22
128805,22
4685,22
128798,22
128808,22
128801,22
4689,22
128813,22
128809,22
4684,22
4680,22
8958,23
8963,23
393,23
47293,23
8977,23
374,23
372,23
32235,23
8978,23
386,23
8962,23
8987,23
99807,23
8983,23
375,23
8981,23
378,23
381,23
47313,23
377,23
383,23
392,23
39390,23
47283,23
8957,23
8973,23
8974,23
376,23
380,23
385,23
8961,23
8988,23
47267,23
388,23
135099,24
64557,24
64558,24
64571,24
64544,24
64549,24
64582,24
64556,24
64545,24
47627,24
47626,24
64580,24
165230,24
64575,24
64562,24
57335,24
64552,24
64566,24
64541,24
64554,24
64563,24
64579,24
64567,24
47623,24
47633,24
57333,24
64581,24
64548,24
64547,24
64540,24
77217,24
47622,24
64542,24
64561,24
64572,24
64551,24
64577,24
64569,24
64565,24
47634,24
47628,24
47624,24
64573,24
47629,24
64550,24
33231,25
40776,25
51922,25
12834,25
80939,25
27633,25
76923,25
7891,25
18732,25
11510,25
18736,25
56098,25
33220,25
30230,25
54416,26
894,26
18035,26
5570,26
36087,26
80670,27
44535,27
1053,27
171457,27
